iter	Passed	Remaining
855	11717	1971
856	11731	1957
857	11745	1943
858	11758	1930
859	11772	1916
860	11786	1902
861	11799	1889
862	11813	1875
863	11826	1861
864	11840	1847
865	11854	1834
866	11868	1820
867	11881	1806
868	11895	1793
869	11909	1779
870	11922	1765
871	11936	1752
872	11950	1738
873	11964	1724
874	11977	1711
875	11991	1697
876	12005	1683
877	12018	1670
878	12032	1656
879	12046	1642
880	12059	1628
881	12073	1615
882	12087	1601
883	12101	1588
884	12115	1574
885	12129	1560
886	12142	1546
887	12156	1533
888	12170	1519
889	12183	1505
890	12197	1492
891	12211	1478
892	12225	1464
893	12238	1451
894	12252	1437
895	12266	1423
896	12279	1410
897	12293	1396
898	12306	1382
899	12320	1368
900	12336	1355
901	12349	1341
902	12363	1328
903	12377	1314
904	12391	1300
905	12404	1287
906	12418	1273
907	12432	1259
908	12446	1246
909	12460	1232
910	12474	1218
911	12487	1204
912	12501	1191
913	12515	1177
914	12529	1163
915	12542	1150
916	12556	1136
917	12569	1122
918	12583	1109
919	12596	1095
920	12610	1081
921	12623	1067
922	12637	1054
923	12650	1040
924	12663	1026
925	12677	1013
926	12690	999
927	12704	985
928	12718	971
929	12731	958
930	12744	944
931	12758	930
932	12771	917
933	12785	903
934	12799	889
935	12812	876
936	12825	862
937	12839	848
938	12853	834
939	12866	821
940	12880	807
941	12894	793
942	12907	780
943	12921	766
944	12935	752
945	12948	739
946	12961	725
947	12975	711
948	12989	698
949	13002	684
950	13016	670
951	13029	656
952	13043	643
953	13057	629
954	13071	615
955	13084	602
956	13098	588
957	13111	574
958	13125	561
959	13139	547
960	13152	533
961	13166	520
962	13180	506
963	13193	492
964	13207	479
965	13221	465
966	13234	451
967	13248	437
968	13262	424
969	13275	410
970	13289	396
971	13302	383
972	13316	369
973	13330	355
974	13343	342
975	13357	328
976	13370	314
977	13384	301
978	13397	287
979	13411	273
980	13424	260
981	13438	246
982	13451	232
983	13465	218
984	13479	205
985	13492	191
986	13506	177
987	13519	164
988	13533	150
989	13546	136
990	13559	123
991	13573	109
992	13587	95
993	13600	82
994	13614	68
995	13628	54
996	13641	41
997	13655	27
998	13669	13
999	13682	0
